node_id,top1_business,top1_pred_cost,top1_pred_profit,top1_profit_positive,top2_business,top2_pred_cost,top2_pred_profit,top2_profit_positive,top3_business,top3_pred_cost,top3_pred_profit,top3_profit_positive
ant233a5b1c277493374abf0c7c0a807,10000303,1.55,5.22,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
ant234187955a06b3fe5b3049556330a,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant2341e12ba0b13329ea7faaee87504,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant2349529570acf3774ac10e3095903,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant235a508755d613d889df567e54c07,10000099,3.36,5.22,1,10000129,2.9,5.22,1,10000251,1.24,5.22,1
ant23677e80475b736b2a40672f99b01,10000129,2.9,5.22,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
ant2368e4a46071e3dcda45921d60904,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant2372a3ab814d83be9a6220228390c,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant2372da2a47dcc3793b6518d6be807,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant2376c27cbfc463b958c2f445b0e03,10000303,1.55,5.22,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
ant238139a0796c038b485b602271a01,10000303,1.55,5.22,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
ant23815835db4ef3595b37bcda2bb08,10000050,3.16,5.22,1,10000097,1.94,5.22,1,10000303,1.64,5.22,1
ant23820b7382b493f24994fac5a7407,10000149,6.1,5.41,1,10000084,4.66,5.95,1,10000251,3.13,5.22,1
ant2383912b250923d659851b696e60c,10000303,1.55,5.22,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
ant238ae3b7c6f0e3131a0c43ba96f08,10000303,1.55,5.22,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
ant238b04165dab7314396de78f14c01,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant23904106dcc4a3fff979035ff2f00,10000274,0.67,5.41,1,10000208,0.56,5.22,1,10000193,0.5,5.22,1
ant23905d3b566573d52b44b74a0d704,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant23937ca5fe68d320fbc1357c8fe07,10000251,2.62,5.22,1,10000193,0.7,5.22,1,10000208,0.69,5.22,1
ant239ee18aa64083bf6b6a506620807,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant23a9ffe5db619348fb6238383ec02,10000083,2.09,5.22,1,10000149,2.05,5.41,1,10000038,2.02,5.22,1
ant23af6a3a389693fa8a6c12367d40a,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant23b04e46daa103b09b0b3db314d09,10000038,3.21,5.22,1,10000050,3.11,5.22,1,10000251,1.24,5.22,1
ant23bd8f81ba556346ead016d1db80b,10000303,1.55,5.22,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
ant23c28d286f86d3d8ca8c59a1f120b,10000038,3.21,5.22,1,10000129,2.9,5.22,1,10000251,1.24,5.22,1
ant23c3e98958e0f3058b3f8b3d05e08,10000149,2.54,5.41,1,10000084,1.42,5.95,1,10000129,1.31,5.22,1
ant23c6dfc70d03236da905d26069d08,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant23d1ee976fcc13c01be305eb2eb0c,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant23d69eed0043d3a2f80e68a071c03,10000050,2.91,5.22,1,10000193,0.63,5.22,1,10000238,0.57,5.22,1
ant23df3c64b151e309cb83d593aec0c,10000149,7.49,6.54,1,10000084,6.31,8.56,1,10000083,4.52,6.35,1
ant23e4178c339663b4781af5fe09b02,10000050,3.11,5.22,1,10000251,1.24,5.22,1,10000238,1.16,5.22,1
ant23eef5cc32c6632c98f1cf7238907,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant23f2ab910426634f1ba1247d6ce02,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant23fd48361fb63348594cf5cfce609,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant23ff0224d237b33b59dc4b1043d05,10000303,1.55,5.22,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
ant2406e3d34cc4633959cf53a0cd604,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant240abb6229a843a5faf0faca41800,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant241348fdc8e1f3caa8c3398181f09,10000149,4.31,5.41,1,10000099,1.93,5.22,1,10000193,0.53,5.22,1
ant2415ed68ffc0735029f6d45eff501,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant2417e48a1d6ff317a9b9e5d92ef07,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant241e14f857cba3735b09945c6fa02,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant242df7e6649c23ac5b4985a3fc407,10000303,1.55,5.22,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
ant2437a6be033fc36b1abe4c2a33b0c,10000303,1.55,5.22,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
ant2439776ea7e0d3abcb4deee233709,10000050,3.11,5.22,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
ant243b43c1d27683fd3a640681da401,10000099,7.93,5.22,1,10000129,7.14,5.22,1,10000149,6.94,5.41,1
ant243e371f7bdaf324ab954b8d0f20a,10000303,1.55,5.22,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
